frame	x	V
409	277666.94	16000.00
410	278333.61	16000.00
411	279000.27	16000.00
412	279666.94	16000.00
413	280333.61	16000.00
414	281000.27	16000.00
415	281666.94	16000.00
416	282333.61	16000.00
417	283000.27	16000.00
418	283666.94	16000.00
419	284333.61	16000.00
420	285000.27	16000.00
421	285666.94	16000.00
422	286333.61	16000.00
423	287000.27	16000.00
424	287666.94	16000.00
425	288333.61	16000.00
426	289000.27	16000.00
427	289666.94	16000.00
428	290333.61	16000.00
429	291000.27	16000.00
430	291666.94	16000.00
431	292333.61	16000.00
432	293000.27	16000.00
433	293666.94	16000.00
434	294333.61	16000.00
435	295000.27	16000.00
436	295666.94	16000.00
437	296333.61	16000.00
438	297000.27	16000.00
439	297666.94	16000.00
440	298333.61	16000.00
441	299000.27	16000.00
442	299666.94	16000.00
443	300333.61	16000.00
444	301000.27	16000.00
445	301666.94	16000.00
446	302333.61	16000.00
447	303000.27	16000.00
448	303666.94	16000.00
449	304333.61	16000.00
450	305000.27	16000.00
451	305666.94	16000.00
452	306333.61	16000.00
453	307000.27	16000.00
454	307666.94	16000.00
455	308333.61	16000.00
456	309000.27	16000.00
457	309666.94	16000.00
458	310333.61	16000.00
459	311000.27	16000.00
460	311666.94	16000.00
461	312333.61	16000.00
462	313000.27	16000.00
463	313666.94	16000.00
464	314333.61	16000.00
465	315000.27	16000.00
466	315666.94	16000.00
467	316333.61	16000.00
468	317000.27	16000.00
469	317666.94	16000.00
470	318333.61	16000.00
471	319000.27	16000.00
472	319666.94	16000.00
473	320333.61	16000.00
474	321000.27	16000.00
475	321666.94	16000.00
476	322333.61	16000.00
477	323000.27	16000.00
478	323666.94	16000.00
479	324333.61	16000.00
480	325000.27	16000.00
481	325666.94	16000.00
482	326333.61	16000.00
483	327000.27	16000.00
484	327666.94	16000.00
485	328333.61	16000.00
486	329000.27	16000.00
487	329666.94	16000.00
488	330333.61	16000.00
489	331000.27	16000.00
490	331666.94	16000.00
491	332333.61	16000.00
492	333000.27	16000.00
