frame	y	V
434	301666.67	16000.00
435	301000.00	16000.00
436	300333.33	16000.00
437	299666.67	16000.00
438	299000.00	16000.00
439	298333.33	16000.00
440	297666.67	16000.00
441	297000.00	16000.00
442	296333.33	16000.00
443	295666.67	16000.00
444	295000.00	16000.00
445	294333.33	16000.00
446	293666.67	16000.00
447	293000.00	16000.00
448	292333.33	16000.00
449	291666.67	16000.00
450	291000.00	16000.00
451	290333.33	16000.00
452	289666.67	16000.00
453	289000.00	16000.00
454	288333.33	16000.00
455	287666.67	16000.00
456	287000.00	16000.00
457	286333.33	16000.00
458	285666.67	16000.00
459	285000.00	16000.00
460	284333.33	16000.00
461	283666.67	16000.00
462	283000.00	16000.00
463	282333.33	16000.00
464	281666.67	16000.00
465	281000.00	16000.00
466	280333.33	16000.00
467	279666.67	16000.00
468	279000.00	16000.00
469	278333.33	16000.00
470	277666.67	16000.00
471	277000.00	16000.00
472	276333.33	16000.00
473	275666.67	16000.00
474	275000.00	16000.00
475	274333.33	16000.00
476	273666.67	16000.00
477	273000.00	16000.00
478	272333.33	16000.00
479	271666.67	16000.00
480	271000.00	16000.00
481	270333.33	16000.00
482	269666.67	16000.00
483	269000.00	16000.00
484	268333.33	16000.00
485	267666.67	16000.00
486	267000.00	16000.00
487	266333.33	16000.00
488	265666.67	16000.00
489	265000.00	16000.00
490	264333.33	16000.00
491	263666.67	16000.00
492	263000.00	16000.00
493	262333.33	16000.00
494	261666.67	16000.00
495	261000.00	16000.00
496	260333.33	16000.00
497	259666.67	16000.00
498	259000.00	16000.00
499	258333.33	16000.00
500	257666.67	16000.00
501	257000.00	16000.00
502	256333.33	16000.00
503	255666.67	16000.00
504	255000.00	16000.00
505	254333.33	16000.00
506	253666.67	16000.00
507	253000.00	16000.00
508	252333.33	16000.00
509	251666.67	16000.00
510	251000.00	16000.00
511	250333.33	16000.00
512	249666.67	16000.00
513	249000.00	16000.00
514	248333.33	16000.00
515	247666.67	16000.00
516	247000.00	16000.00
517	246333.33	16000.00
518	245666.67	16000.00
519	245000.00	16000.00
520	244333.33	16000.00
521	243666.67	16000.00
522	243000.00	16000.00
523	242333.33	16000.00
524	241666.67	16000.00
525	241000.00	16000.00
526	240333.33	16000.00
527	239666.67	16000.00
528	239000.00	16000.00
529	238333.33	16000.00
530	237666.67	16000.00
531	237000.00	16000.00
532	236333.33	16000.00
533	235666.67	16000.00
534	235000.00	16000.00
535	234333.33	16000.00
536	233666.67	16000.00
537	233000.00	16000.00
538	232333.33	16000.00
539	231666.67	16000.00
540	231000.00	16000.00
541	230333.33	16000.00
542	229666.67	16000.00
543	229000.00	16000.00
544	228333.33	16000.00
545	227666.67	16000.00
546	227000.00	16000.00
547	226333.33	16000.00
548	225666.67	16000.00
549	225000.00	16000.00
550	224333.33	16000.00
551	223666.67	16000.00
552	223000.00	16000.00
553	222333.33	16000.00
554	221666.67	16000.00
555	221000.00	16000.00
556	220333.33	16000.00
557	219666.67	16000.00
558	219000.00	16000.00
559	218333.33	16000.00
560	217666.67	16000.00
561	217000.00	16000.00
562	216333.33	16000.00
563	215666.67	16000.00
564	215000.00	16000.00
565	214333.33	16000.00
566	213666.67	16000.00
567	213000.00	16000.00
568	212333.33	16000.00
569	211666.67	16000.00
570	211000.00	16000.00
571	210333.33	16000.00
572	209666.67	16000.00
573	209000.00	16000.00
574	208333.33	16000.00
575	207666.67	16000.00
576	207000.00	16000.00
577	206333.33	16000.00
578	205666.67	16000.00
579	205000.00	16000.00
580	204333.33	16000.00
581	203666.67	16000.00
582	203000.00	16000.00
583	202333.33	16000.00
584	201666.67	16000.00
585	201000.00	16000.00
586	200333.33	16000.00
587	199666.67	16000.00
588	199000.00	16000.00
589	198333.33	16000.00
590	197666.67	16000.00
591	197000.00	16000.00
592	196333.33	16000.00
593	195666.67	16000.00
594	195000.00	16000.00
595	194333.33	16000.00
596	193666.67	16000.00
597	193000.00	16000.00
598	192333.33	16000.00
599	191666.67	16000.00
600	191000.00	16000.00
601	190333.33	16000.00
602	189666.67	16000.00
603	189000.00	16000.00
604	188333.33	16000.00
605	187666.67	16000.00
606	187000.00	16000.00
607	186333.33	16000.00
608	185666.67	16000.00
609	185000.00	16000.00
610	184333.33	16000.00
611	183666.67	16000.00
612	183000.00	16000.00
613	182333.33	16000.00
614	181666.67	16000.00
615	181000.00	16000.00
616	180333.33	16000.00
617	179666.67	16000.00
618	179000.00	16000.00
619	178333.33	16000.00
620	177666.67	16000.00
621	177000.00	16000.00
622	176333.33	16000.00
623	175666.67	16000.00
624	175000.00	16000.00
625	174333.33	16000.00
626	173666.67	16000.00
627	173000.00	16000.00
628	172333.33	16000.00
629	171666.67	16000.00
630	171000.00	16000.00
631	170333.33	16000.00
632	169666.67	16000.00
633	169000.00	16000.00
634	168333.33	16000.00
635	167666.67	16000.00
636	167000.00	16000.00
637	166333.33	16000.00
638	165666.67	16000.00
639	165000.00	16000.00
640	164333.33	16000.00
641	163666.67	16000.00
