frame	x	v
443	547666.66	16000.00
444	546999.99	16000.00
445	546333.32	16000.00
446	545666.66	16000.00
447	544999.99	16000.00
448	544333.32	16000.00
449	543666.66	16000.00
450	542999.99	16000.00
451	542333.32	16000.00
452	541666.66	16000.00
453	540999.99	16000.00
454	540333.32	16000.00
455	539666.66	16000.00
456	538999.99	16000.00
457	538333.32	16000.00
458	537666.66	16000.00
459	536999.99	16000.00
460	536333.32	16000.00
461	535666.66	16000.00
462	534999.99	16000.00
463	534333.32	16000.00
464	533666.66	16000.00
465	532999.99	16000.00
466	532333.32	16000.00
467	531666.66	16000.00
468	530999.99	16000.00
469	530333.32	16000.00
470	529666.66	16000.00
471	528999.99	16000.00
472	528333.32	16000.00
473	527666.66	16000.00
474	526999.99	16000.00
475	526333.32	16000.00
476	525666.66	16000.00
477	524999.99	16000.00
478	524333.32	16000.00
479	523666.66	16000.00
480	522999.99	16000.00
481	522333.32	16000.00
482	521666.66	16000.00
483	520999.99	16000.00
484	520333.32	16000.00
485	519666.66	16000.00
486	518999.99	16000.00
487	518333.32	16000.00
488	517666.66	16000.00
489	516999.99	16000.00
490	516333.32	16000.00
491	515666.66	16000.00
492	514999.99	16000.00
493	514333.32	16000.00
494	513666.66	16000.00
495	512999.99	16000.00
496	512333.32	16000.00
497	511666.66	16000.00
498	510999.99	16000.00
499	510333.32	16000.00
500	509666.66	16000.00
501	508999.99	16000.00
502	508333.32	16000.00
503	507666.66	16000.00
504	506999.99	16000.00
505	506333.32	16000.00
506	505666.66	16000.00
507	504999.99	16000.00
508	504333.32	16000.00
509	503666.66	16000.00
510	502999.99	16000.00
511	502333.32	16000.00
512	501666.66	16000.00
513	500999.99	16000.00
514	500333.32	16000.00
515	499666.66	16000.00
516	498999.99	16000.00
517	498333.32	16000.00
518	497666.66	16000.00
519	496999.99	16000.00
520	496333.32	16000.00
521	495666.66	16000.00
522	494999.99	16000.00
523	494333.32	16000.00
524	493666.66	16000.00
525	492999.99	16000.00
526	492333.32	16000.00
527	491666.66	16000.00
528	490999.99	16000.00
529	490333.32	16000.00
530	489666.66	16000.00
531	488999.99	16000.00
532	488333.32	16000.00
533	487666.66	16000.00
534	486999.99	16000.00
535	486333.32	16000.00
536	485666.66	16000.00
537	484999.99	16000.00
538	484333.32	16000.00
539	483666.66	16000.00
540	482999.99	16000.00
541	482333.32	16000.00
542	481666.66	16000.00
543	480999.99	16000.00
544	480333.32	16000.00
545	479666.66	16000.00
546	478999.99	16000.00
547	478333.32	16000.00
548	477666.66	16000.00
549	476999.99	16000.00
550	476333.32	16000.00
551	475666.66	16000.00
552	474999.99	16000.00
553	474333.32	16000.00
554	473666.66	16000.00
555	472999.99	16000.00
556	472333.32	16000.00
557	471666.66	16000.00
558	470999.99	16000.00
559	470333.32	16000.00
560	469666.66	16000.00
561	468999.99	16000.00
562	468333.32	16000.00
563	467666.66	16000.00
564	466999.99	16000.00
565	466333.32	16000.00
566	465666.66	16000.00
567	464999.99	16000.00
568	464333.32	16000.00
569	463666.66	16000.00
570	462999.99	16000.00
571	462333.32	16000.00
572	461666.66	16000.00
573	460999.99	16000.00
574	460333.32	16000.00
575	459666.66	16000.00
576	458999.99	16000.00
577	458333.32	16000.00
578	457666.66	16000.00
579	456999.99	16000.00
580	456333.32	16000.00
581	455666.66	16000.00
582	454999.99	16000.00
583	454333.32	16000.00
584	453666.66	16000.00
585	452999.99	16000.00
586	452333.32	16000.00
587	451666.66	16000.00
588	450999.99	16000.00
589	450333.32	16000.00
590	449666.66	16000.00
591	448999.99	16000.00
592	448333.32	16000.00
593	447666.66	16000.00
594	446999.99	16000.00
595	446333.32	16000.00
596	445666.66	16000.00
597	444999.99	16000.00
598	444333.32	16000.00
599	443666.66	16000.00
600	442999.99	16000.00
601	442333.32	16000.00
602	441666.66	16000.00
603	440999.99	16000.00
604	440333.32	16000.00
605	439666.66	16000.00
606	438999.99	16000.00
607	438333.32	16000.00
608	437666.66	16000.00
609	436999.99	16000.00
610	436333.32	16000.00
611	435666.66	16000.00
612	434999.99	16000.00
613	434333.32	16000.00
614	433666.66	16000.00
615	432999.99	16000.00
616	432333.32	16000.00
617	431666.66	16000.00
618	430999.99	16000.00
619	430333.32	16000.00
620	429666.66	16000.00
621	428999.99	16000.00
622	428333.32	16000.00
623	427666.66	16000.00
624	426999.99	16000.00
625	426333.32	16000.00
626	425666.66	16000.00
627	424999.99	16000.00
628	424333.32	16000.00
629	423666.66	16000.00
630	422999.99	16000.00
631	422333.32	16000.00
632	421666.66	16000.00
633	420999.99	16000.00
634	420333.32	16000.00
635	419666.66	16000.00
636	418999.99	16000.00
637	418333.32	16000.00
638	417666.66	16000.00
639	416999.99	16000.00
640	416333.32	16000.00
641	415666.66	16000.00
642	414999.99	16000.00
643	414333.32	16000.00
644	413666.66	16000.00
645	412999.99	16000.00
646	412333.32	16000.00
647	411666.66	16000.00
648	410999.99	16000.00
649	410333.32	16000.00
650	409666.66	16000.00
651	408999.99	16000.00
652	408333.32	16000.00
653	407666.66	16000.00
654	406999.99	16000.00
655	406333.32	16000.00
656	405666.66	16000.00
657	404999.99	16000.00
658	404333.32	16000.00
659	403666.66	16000.00
660	402999.99	16000.00
661	402333.32	16000.00
662	401666.66	16000.00
663	400999.99	16000.00
664	400333.32	16000.00
665	399666.66	16000.00
666	398999.99	16000.00
667	398333.32	16000.00
668	397666.66	16000.00
669	396999.99	16000.00
670	396333.32	16000.00
671	395666.66	16000.00
672	394999.99	16000.00
673	394333.32	16000.00
674	393666.66	16000.00
675	392999.99	16000.00
676	392333.32	16000.00
677	391666.66	16000.00
678	390999.99	16000.00
679	390333.32	16000.00
680	389666.66	16000.00
681	388999.99	16000.00
682	388333.32	16000.00
683	387666.66	16000.00
684	386999.99	16000.00
685	386333.32	16000.00
686	385666.66	16000.00
687	384999.99	16000.00
688	384333.32	16000.00
689	383666.66	16000.00
690	382999.99	16000.00
691	382333.32	16000.00
692	381666.66	16000.00
693	380999.99	16000.00
694	380333.32	16000.00
695	379666.66	16000.00
696	378999.99	16000.00
697	378333.32	16000.00
698	377666.66	16000.00
699	376999.99	16000.00
700	376333.32	16000.00
701	375666.66	16000.00
702	374999.99	16000.00
703	374333.32	16000.00
704	373666.66	16000.00
705	372999.99	16000.00
706	372333.32	16000.00
707	371666.66	16000.00
708	370999.99	16000.00
709	370333.32	16000.00
710	369666.66	16000.00
711	368999.99	16000.00
712	368333.32	16000.00
713	367666.66	16000.00
714	366999.99	16000.00
715	366333.32	16000.00
716	365666.66	16000.00
717	364999.99	16000.00
718	364333.32	16000.00
719	363666.66	16000.00
720	362999.99	16000.00
721	362333.32	16000.00
722	361666.66	16000.00
723	360999.99	16000.00
724	360333.32	16000.00
725	359666.66	16000.00
726	358999.99	16000.00
727	358333.32	16000.00
728	357666.66	16000.00
729	356999.99	16000.00
730	356333.32	16000.00
731	355666.66	16000.00
732	354999.99	16000.00
733	354333.32	16000.00
734	353666.66	16000.00
735	352999.99	16000.00
736	352333.32	16000.00
737	351666.66	16000.00
738	350999.99	16000.00
739	350333.32	16000.00
740	349666.66	16000.00
741	348999.99	16000.00
742	348333.32	16000.00
743	347666.66	16000.00
744	346999.99	16000.00
745	346333.32	16000.00
746	345666.66	16000.00
747	344999.99	16000.00
748	344333.32	16000.00
749	343666.66	16000.00
750	342999.99	16000.00
751	342333.32	16000.00
752	341666.66	16000.00
753	340999.99	16000.00
754	340333.32	16000.00
755	339666.66	16000.00
756	338999.99	16000.00
757	338333.32	15987.17
758	337667.19	15948.89
759	337002.65	15885.82
760	336340.75	15799.04
761	335682.45	15690.03
762	335028.70	15560.66
763	334380.34	15413.14
764	333738.13	15250.00
765	333102.71	15074.03
766	332474.62	14888.23
767	331854.28	14695.79
768	331241.96	14500.00
769	330637.79	14304.21
770	330041.78	14111.77
771	329453.79	13925.97
772	328873.54	13750.00
773	328300.63	13586.86
774	327734.51	13439.34
775	327174.53	13309.97
776	326619.95	13200.96
777	326069.91	13114.18
778	325523.49	13051.11
779	324979.69	13012.83
780	324437.49	13000.00
781	323895.82	13012.83
782	323353.62	13051.11
783	322809.83	13114.18
784	322263.40	13200.96
785	321713.36	13309.97
786	321158.78	13439.34
787	320598.81	13586.86
788	320032.69	13750.00
789	319459.77	13925.97
790	318879.52	14111.77
791	318291.53	14304.21
792	317695.52	14500.00
793	317091.36	14695.79
794	316479.03	14888.23
795	315858.69	15074.03
796	315230.60	15250.00
797	314595.19	15413.14
798	313952.97	15560.66
799	313304.61	15690.03
800	312650.86	15799.04
801	311992.57	15885.82
802	311330.66	15948.89
803	310666.12	15987.17
804	309999.99	16000.00
805	309333.32	16000.00
806	308666.66	16000.00
807	307999.99	16000.00
808	307333.32	16000.00
809	306666.66	16000.00
810	305999.99	16000.00
811	305333.32	16000.00
812	304666.66	16000.00
813	303999.99	16000.00
814	303333.32	16000.00
815	302666.66	16000.00
816	301999.99	16000.00
817	301333.32	16000.00
818	300666.66	16000.00
819	299999.99	16000.00
820	299333.32	16000.00
821	298666.66	16000.00
822	297999.99	16000.00
823	297333.32	16000.00
824	296666.66	16000.00
825	295999.99	16000.00
826	295333.32	16000.00
827	294666.66	16000.00
828	293999.99	16000.00
829	293333.32	16000.00
830	292666.66	16000.00
831	291999.99	16000.00
832	291333.32	16000.00
833	290666.66	16000.00
834	289999.99	16000.00
835	289333.32	16000.00
836	288666.66	16000.00
837	287999.99	16000.00
838	287333.32	16000.00
839	286666.66	16000.00
840	285999.99	16000.00
841	285333.32	16000.00
842	284666.66	16000.00
843	283999.99	16000.00
844	283333.32	16000.00
845	282666.66	16000.00
846	281999.99	16000.00
847	281333.32	16000.00
848	280666.66	16000.00
849	279999.99	16000.00
850	279333.32	16000.00
851	278666.66	16000.00
852	277999.99	16000.00
853	277333.32	16000.00
854	276666.66	16000.00
855	275999.99	16000.00
856	275333.32	16000.00
857	274666.66	16000.00
858	273999.99	16000.00
859	273333.32	16000.00
860	272666.66	16000.00
861	271999.99	16000.00
862	271333.32	16000.00
863	270666.66	16000.00
