frame	y	V
98	53333.33	16000.00
99	54000.00	16000.00
100	54666.67	16000.00
101	55333.33	16000.00
102	56000.00	16000.00
103	56666.67	16000.00
104	57333.33	16000.00
105	58000.00	16000.00
106	58666.67	16000.00
107	59333.33	16000.00
108	60000.00	16000.00
109	60666.67	16000.00
110	61333.33	16000.00
111	62000.00	16000.00
112	62666.67	16000.00
113	63333.33	16000.00
114	64000.00	16000.00
115	64666.67	16000.00
116	65333.33	16000.00
117	66000.00	16000.00
118	66666.67	16000.00
119	67333.33	16000.00
120	68000.00	16000.00
121	68666.67	16000.00
122	69333.33	16000.00
123	70000.00	16000.00
124	70666.67	16000.00
125	71333.33	16000.00
126	72000.00	16000.00
127	72666.67	16000.00
128	73333.33	16000.00
129	74000.00	16000.00
130	74666.67	16000.00
131	75333.33	16000.00
132	76000.00	16000.00
133	76666.67	16000.00
134	77333.33	16000.00
135	78000.00	16000.00
136	78666.67	16000.00
137	79333.33	16000.00
138	80000.00	16000.00
139	80666.67	16000.00
140	81333.33	16000.00
141	82000.00	16000.00
142	82666.67	16000.00
143	83333.33	16000.00
144	84000.00	16000.00
145	84666.67	16000.00
146	85333.33	16000.00
147	86000.00	16000.00
148	86666.67	16000.00
149	87333.33	16000.00
150	88000.00	16000.00
151	88666.67	16000.00
152	89333.33	16000.00
153	90000.00	16000.00
154	90666.67	16000.00
155	91333.33	16000.00
156	92000.00	16000.00
157	92666.67	16000.00
158	93333.33	16000.00
159	94000.00	16000.00
160	94666.67	16000.00
161	95333.33	16000.00
162	96000.00	16000.00
163	96666.67	16000.00
164	97333.33	16000.00
165	98000.00	16000.00
166	98666.67	16000.00
167	99333.33	16000.00
168	100000.00	16000.00
169	100666.67	16000.00
170	101333.33	16000.00
171	102000.00	16000.00
172	102666.67	16000.00
173	103333.33	16000.00
174	104000.00	16000.00
175	104666.67	16000.00
176	105333.33	16000.00
177	106000.00	16000.00
178	106666.67	16000.00
179	107333.33	16000.00
180	108000.00	16000.00
181	108666.67	16000.00
182	109333.33	16000.00
183	110000.00	16000.00
184	110666.67	16000.00
185	111333.33	16000.00
186	112000.00	16000.00
187	112666.67	16000.00
188	113333.33	16000.00
189	114000.00	16000.00
190	114666.67	16000.00
191	115333.33	16000.00
192	116000.00	16000.00
193	116666.67	16000.00
194	117333.33	16000.00
195	118000.00	16000.00
196	118666.67	16000.00
197	119333.33	16000.00
198	120000.00	16000.00
199	120666.67	16000.00
200	121333.33	16000.00
201	122000.00	16000.00
202	122666.67	16000.00
203	123333.33	16000.00
204	124000.00	16000.00
205	124666.67	16000.00
206	125333.33	16000.00
207	126000.00	16000.00
208	126666.67	16000.00
209	127333.33	16000.00
210	127999.11	16000.00
211	128662.23	15978.61
212	129320.96	15914.81
213	129973.67	15809.70
214	130618.82	15665.06
215	131254.97	15483.38
216	131880.89	15267.77
217	132495.47	15021.90
218	133097.83	14750.00
219	133687.29	14456.71
220	134263.39	14147.05
221	134825.89	13826.32
222	135374.79	13500.00
223	135910.33	13173.68
224	136432.97	12852.95
225	136943.39	12543.29
226	137442.47	12250.00
227	137931.32	11978.10
228	138411.17	11732.23
229	138883.46	11516.62
230	139349.73	11334.94
231	139811.61	11190.30
232	140270.83	11085.19
233	140729.17	11021.39
234	141188.39	11000.00
235	141650.27	11021.39
236	142116.54	11085.19
237	142588.83	11190.30
238	143068.68	11334.94
239	143557.53	11516.62
240	144056.61	11732.23
241	144567.03	11978.10
242	145089.67	12250.00
243	145625.21	12543.29
244	146174.11	12852.95
245	146736.61	13173.68
246	147312.71	13500.00
247	147902.17	13826.32
248	148504.53	14147.05
249	149119.11	14456.71
250	149745.03	14750.00
251	150381.18	15021.90
252	151026.33	15267.77
253	151679.04	15483.38
254	152337.77	15665.06
255	153000.89	15809.70
256	153666.67	15914.81
257	154333.33	15978.61
258	155000.00	16000.00
259	155666.67	16000.00
260	156333.33	16000.00
261	157000.00	16000.00
262	157666.67	16000.00
263	158333.33	16000.00
264	159000.00	16000.00
265	159666.67	16000.00
266	160333.33	16000.00
267	161000.00	16000.00
268	161666.67	16000.00
269	162333.33	16000.00
270	163000.00	16000.00
271	163666.67	16000.00
272	164333.33	16000.00
